what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1420004486391
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.ear for object P/git_test",1420004486391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004486468
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1420004486478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004498010
error,log,,,"Could not write metadata for '/'.",1420004584247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004591306
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1420004591636
activated,perspective,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui.webDevPerspective",1420004591671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1420004591776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004603433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004624768
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1420004629575
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1420004629815
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1420004630005
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1420004630025
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1420004630525
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1420004630690
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1420004630700
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1420004630730
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1420004630770
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1420004630800
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1420004630927
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1420004630972
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1420004631007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004631467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004642345
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1420004642587
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1420004643407
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1420004643763
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1420004644940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004646008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004664800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004666637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004672257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004674797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004681654
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1420004690236
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1420004690621
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1420004691088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420004706708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004716875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004793442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004794327
error,log,,,"Could not save master table to file 'C:\\Users\\sys18\\git_sample\\sample_git\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1420004885463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004885496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006009139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006271940
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420006273489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006281810
error,log,,,"Could not save master table to file 'C:\\Users\\sys18\\git_sample\\sample_git\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1420006346492
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1420006346732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006348998
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1420006349244
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1420006349280
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1420006349281
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1420006349296
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1420006349473
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1420006349650
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1420006349693
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1420006350173
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1420006355882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006365287
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1420006402451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006403337
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420006404036
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1420006404281
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1420006404316
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420006404351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006409765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006413720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006418928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006577058
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1420006579777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006587229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006589371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420006589386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006596758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006602175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006606613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006609543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006615825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006616887
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006616897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006623389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006630178
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1420006635068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420006635088
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1420006638638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006641538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006641945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006645681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006670149
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420006673712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420006675819
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1420006681101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006692666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1420006695913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420006699377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006704213
error,log,,,"Could not save master table to file 'C:\\Users\\sys18\\git_sample\\sample_git\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1420006705088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006705133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006706975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006712097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420006715254
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1420006722113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006737570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006764530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1420006772895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420006775668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006806348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006808408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006809508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006815303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006841571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006842998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006844115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006856756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006901479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006902599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420006961823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1420006969168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006974663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420006987148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420006992508
error,log,,,"Could not save master table to file 'C:\\Users\\sys18\\git_sample\\sample_git\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1420007015290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007015325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007017385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420007024195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420007027557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007029692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007037273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007053769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007056660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007063790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007066175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007074038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007077180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007082772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007083957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420007092715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420007096192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1420007102512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420007106579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420007109554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420007115102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1420007118531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420007119941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1420007122021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420007125393
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1420007139801
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1420007139821
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1420007139898
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1420007139903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1420007140405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1420007150879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420007164314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007178944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007184132
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1420007184147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007190894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007192629
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1420007192649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1420007194339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420007195021
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420007207337
error,log,,,"Could not save master table to file 'C:\\Users\\sys18\\git_sample\\sample_git\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources.bak'.",1420007207532
error,log,,,"Problems saving workspace",1420007209492
error,log,,,"Problems occurred while trying to save the state of the workbench.",1420007209492
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1420007209979
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1420007209994
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1420007209994
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1420007209994
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1420007209994
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1420007209999
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1420007209999
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1420007209999
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1420007209999
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1420007210004
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1420007210004
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1420007210004
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1420007210004
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1420007210004
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1420007210039
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1420007210039
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1420007210064
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1420007210099
